Beschriftung;Eingabesequenz
Sonstiges;Januar Rhso Bwssibwgruendung
Sonstiges;Januar dvg rwsosparkassen informatikdi Sparkasse Informatik Gmbh co
Sonstiges;kg -- Finanzit -- verbleibend Itdienstleister Sparkassenfinanzgruppe
Sonstiges;September rechtlich rueckwirkend
Sonstiges;Januar Finanz Informatik aufgehen
Sonstiges;Sparkasse Informatik entstehen
Sonstiges;Januar Fusion mehrere Rechenzentre Sparkassenfinanzgruppe
Sonstiges;Fusionspartner Sibw Karlsruhe sis West Duisburg Informatik Kooperation Muenster
Sonstiges;fusionieren Sparkasse Informatik izb Soft muenchen damalig Itdienstleister Sparkasse Bayern
Sonstiges;Fusion finden rueckwirkend
Sonstiges;Januar
Sonstiges;September rechtskraeftig
Sonstiges;Oktober Uebernahm Sparkasse Informatik zudem Prozent Anteil Produktionsgesellschaft Izb
Sonstiges;Sitz Gesellschaft Frankfurt Main
Sonstiges;bedingt Fusion geben Niederlassung Duisburg Fellbach Karlsruhe Koeln Mainz Muenster
Sonstiges;Zug Fusion izb Soft Standort Muenchen inklusive Aussenstelle Nuernberg dazugekommen
Sonstiges;Dezember beschließen Gesellschafter Unternehmen Standort Duisburg koeln Karlsruhe Mainz
Sonstiges;September schliessen Aufgabe verbleibend Standort Frankfurt Sitz Fellbach muenchen Muenster Buendel
Sonstiges;Hierfuer Standort Fellbach Muenster Anbau Anmietungsmassnahme vornehmen Hauptsitz Unternehmen Frankfurt zusaetzlich flaechen anmieten
Sonstiges;betroffen Mitarbeiter arbeitsplaetze verbleibend Standort anbieten
Sonstiges;mehrwoechig Streik Oktober Abschluss tarifsozialplanes intensiv Verhandlung Arbeitnehmervertreter Regelung fuer Umsetzung Standortbuendelung treffen
Sonstiges;wesentlich element Vereinbarung mobilitaets umzugspauschalen flexibel neu Arbeitszeitmodelle abfindungsangebot
Sonstiges;insgesamt Standortkonsolidierung betroffen mitarbeiterinne Mitarbeiter Angebot anderer Standort Sparkasse Informatik wechseln annehmen Zahl stehen
Sonstiges;Juni
Sonstiges;Unternehmen Sparkasse Informatik beschaeftigen inklusive prozentig Tochterunternehmen izb Mitarbeiter vollzeitstelle stehen
Sonstiges;Geschaeftszweck anderer Betreuung Bereitstellung Itinfrastruktur Rechenzentrumskapazitaet Software fuer
Sonstiges;Juni Sparkasse Badenwuerttemberg Bayern Hessen nordrheinwestfalen Rheinlandpfalz
Sonstiges;Sparkasse Informatik Rechtsform Gmbh co
Sonstiges;kg fuehren
Sonstiges;Kommanditist izb soft verwaltungsgmbh co
Sonstiges;kg muenchen rheinisch Sparkasse Giroverband Duesseldorf Sibw Beteiligungsgesellschaft mbh co
Sonstiges;kg Karlsruhe Sparkasse Giroverband Hessenthueringen Frankfurterfurt Sparkassenverband Rheinlandpfalz Mainz Westfaelischlippischer Sparkasse Giroverband Muenster
Sonstiges;Gesellschafter Komplementaergmbh Sparkasse Informatik Verwaltungsgesellschaft mbh Sparkassenverbaend Kommanditist Sparkassenverband Badenwuerttemberg Sparkassenverband Bayern
Sonstiges;Organ Sparkasse Informatik Gesellschafterversammlung Gmbh Gmbh co
Sonstiges;kg Aufsichtsrat Geschaeftsfuehrung
Sonstiges;Anwendungsplanungsausschuss Preisausschuss -- Sparkassenboard -- Beratungs beschlussgremien einrichten
Sonstiges;Geschaeftsfuehrung bestehen Fridolin neumann vorsitzend Franztheo Brockhoff stellvertretend vorsitzend Werner Brunner stellvertretend vorsitzend Uwe Katzenburg stellvertretend vorsitzend Willi Baer Horst Frick
Sonstiges;Juni Harald lux
Sonstiges;Freitag
Sonstiges;Dezember gesellschaftervertretern Haeuser besetzt Verhandlungskommission Absichtserklaerung Gruendung gemeinsam Itdienstleister Fuer Sparkassenfinanzgruppe verabschieden
Sonstiges;April Finanzit beziehungsweise
Sonstiges;Mai Sparkasse Informatik stimmen zustaendig gremien Haeuser Fusion Basis zuvor gemeinsam erarbeitet fusionskonzept
Sonstiges;Mitte Juli erfolgen Vertragsunterzeichnung Fusion Sparkasse Informatik Finanzit erfolgen rueckwirkend
Sonstiges;Januar
Sonstiges;Juli Fusion Beisein Praesident deutsch Sparkasse giroverband Heinrich Haasis aufsichtsratsvorsitzend Unternehmen Rolf Gerlach Praesident sparkassenverband Westfalenlippe Claus Friedrich Holtmann Praesident ostdeutsch sparkassenverband vorsitzend Geschaeftsfuehrung Haeuser Fridolin Neumann Sparkasse Informatik Klauspeter Kubiak Finanzit bekanntgeben
Sonstiges;Vereinheitlichung Itsystem Fuenf abschließen Einsparung ueber Million Euro jaehrlich rechnen
Sonstiges;Finanzitdie Finanzit entstehen rueckwirkend
Sonstiges;Januar Fusion Sparkassenitdienstleister dvg dvs sik nbg -- Sparkasse Informatik -- verbleibend Itdienstleister Sparkassenfinanzgruppe
Sonstiges;Geschaeftsgebiet liegen Nord Ostdeutschland Saarland
Sonstiges;
Sonstiges;Januar Finanz Informatik aufgehen
Sonstiges;Gesellschaftsanteil Landesbank norddeutsch Landesbank Nordlb hsh Nordbank Landesbank Berlin lb Berlin Bremer Landesbank Bremer lb Landesbank Saar Saarlb sparkassenverbaend Sparkassenverband Niedersachsen Svn Sparkasse Giroverband Fuer Schleswigholstein Sgvsh ostdeutsch Sparkassenverband osv hanseatisch Sparkasse Giroverband hsgv Sparkasse Giroverband Hessenthuering sgv ht Sparkassenverband Saar sv Saar jeweils haelftig aufteilen
Sonstiges;Finanzit Standort Hannover Hauptsitz Berlin Leipzig Saarbrueck
Sonstiges;Kunde Finanzit Sparkasse Landesbank anderer Gesellschaft Sparkassenfinanzgruppe Dwp Bank Geschaeftsgebiet
Sonstiges;Sommer Finanzit Kostensenkungsprogramm beginnen jaehrlich Million Euro sparen
Sonstiges;Finanzit Sparkassenfinanzgruppe gehoert anderer Marktposition Sparkasse staerken
Sonstiges;Ziel finanziteigen Kernbanksystem anderer abzuloese
Sonstiges;stehen Alternativ Debattedie Marktloesung beinhalten Kernbanksystem indisch Oracletochter Iflex solutions Limited sap
Sonstiges;Alternative Kooperation Sparkasse Informatik Umstieg kernbanksyst Osplus
Sonstiges;Massgeblicher Akteur Vorhaben damalig vorstandsvorsitzender Thomas Noth
Sonstiges;Gesellschafterversammlung Aufsichtsratssitzung
Sonstiges;Mai beschließen Finanzit Fusionsverhandlunge Sparkasse Informatik eintreten
Sonstiges;Marktloesung bleiben Notloesung sogenannter -- Fallback -- bestehen falls Verhandlung Ergebnis
Sonstiges;Fusionin Pilotserie Mitte Mai migrieren Sparkasse Thuering Fuenf niedersachsen insgesamt Million konten Kernbankensystem ehemalig Finanzit Osplus one System plus ehemalig Sparkasse Informatik stammend Kernbankensystem Finanz Informatik
Sonstiges;Serie meister Sparkasse Landesbank ehemalig Finanzit gemeinsam Plattform migrieren
Sonstiges;Mai Beschloss Aufsichtsrat Finanz Informatik Gesellschafterversammlung Schliessung Standort Berlin Leipzig muenchen Nuernberg Saarbrueck Fellbach
Sonstiges;bestehen bleiben Standort Frankfurt Hannover Muenster
Sonstiges;Konzentration Standort erhoffen Unternehmen kostenreduzierung Effizienzsteigerung
Sonstiges;Standortschliessung Fibeschaeftigt betreffen Muenchen beschaeftigen Fellbach Berlin jeweils Nuernberg Leipzig
Sonstiges;Oktober Gesamtbetriebsrat Finanz Informatik deutsch Betriebsraetetag Bonn Fuer Engagement Standortschliessung erkaempft innovativ Finanzbranche einzigartig Tarifsozialplan deutsch Betriebsraetepreis Silber auszeichnen
Sonstiges;Rechenzentrum Muenster bestehen Backuprechenzentrum greven Mitte erweitern
Sonstiges;Rechenzentrum Hannover Mitte Backuprechenzentrum Pattensen bauen Betrieb nehmen
Sonstiges;Gesellschafterizb soft si bw rheinisch Sparkasse Giroverband rsgv Sparkassenverband Westfalenlippe Svwl Sparkassenverband Niedersachsen Svn ostdeutsch Sparkassenverband osv Landesbank Berlin lb Berlin Sparkasse Giroverband Hessenthuering sgv ht Sparkassenverband Rheinlandpfalz Svrp hanseatisch Sparkasse Giroverband hsgv Sparkasse Giroverband Fuer Schleswigholstein Sgvsh Sparkassenverband Saar sv Saar beteiligungendi nachfolgend Unternehmen ig Tochterunternehmen Finanz Informatikfinanz Informatik Solutions plus Gmbh Frankfurt vormals -- inform Software Gmbhfinanzit Servicegesellschaft mbh Berlinfinanz Informatik Technologie Service Gmbh co
Sonstiges;kg Haarfinanz Informatik Technologie Service Beteiligungsgesellschaft mbh Aschheimscommerce Geschaeftsfuehrungsgmbh Frankfurtstar finanzsoftwar Entwicklung Vertriebs Gmbh Hamburgan Inasys Gesellschaft Fuer informations analysesystem mbh st
Sonstiges;Augustin Finanz Informatik beteiligen
Sonstiges;geben Beteiligung Finanz Informatik Anteil haeln
Sonstiges;standorted Hauptsitz Finanz Informatik Frankfurt Main
Sonstiges;letzter Lueckenschluss Reihe gewerblich Neubaut Entstand Frankfurtbockenheim Theodorheussallee Gelaende ehemalig Uniondruckerei Vormals Druckstaette Frankfurter Rundschau heutig Citywest Meter Buerohochhaus neu zentral Firmensitz welch Drehscheibe Frankfurt bezeichnen
Sonstiges;zentral sechsgeschossig Halle stellen -- Fenster Stadt -- dar
Sonstiges;Mitarbeiter arbeiten Nutzflaeche
Sonstiges;Generalplaner Architekt mow Generalplanung Gmbh Frankfurt Main
Sonstiges;Gebaeude stehen Kunstwerk Kuenstlerduo dellbruegge -- Moll Titel -- morse by Horse --
Sonstiges;handeln Meter Reiterstandbild Spielzeugfigur nachempfinden
Sonstiges;Element Meter Signalleucht
Sonstiges;stehen Vorplatz anderer Empfangshalle gebaeud
Sonstiges;Signalleucht kommunizieren per morsezeich Miteinander
Sonstiges;Standort Duisburg Karlsruhe Mainz Rahmen Sparkasse Informatik initiiert Konsolidierung
Sonstiges;September schließen
Sonstiges;Zug schliessung Standort koeln massiv personal abbauen Standort
Sonstiges;Dezember endgueltig schließen
Sonstiges;Standortkonsolidierung abschließen
Sonstiges;Standortkonsolidierung fuehren Schliessung Standort Berlin Koeln Leipzig muenchen Nuernberg Saarbrueck Fellbach Stuttgart
Sonstiges;Unternehmenssitz Frankfurt bleiben Rechenzentre Muenster Hannover erhalten
Sonstiges;Kunde geschaeftsfeldkunden Finanz Informatik Sparkasse Landesbank Landesbausparkass gesamt Bundesgebiet Dekabank Unternehmen Sparkassenfinanzgruppe
Softwareentwicklung im Bankensektor;Finanz Informatik bieten unterschiedlich itleistungen Entwicklung Produktion Bereitstellung bankingloesungen kernbanksyst Online Mobilebanking
Sonstiges;Produkt Itservicescomfort fassen Finanz Informatik outsourcing Betriebs Serviceprozesse
Sonstiges;Literaturschmitt Martin -- the code -- banking
Softwareentwicklung im Bankensektor;software as -- Digitalization of german Savings Banks -- Tatnall Arthurleslie Christopher hgg
Sonstiges;international communities of Invention and Innovation New York Ny
Sonstiges;Schmitt Martin Digitalisierung Kreditwirtschaft
Sonstiges;Computereinsatz Sparkasse Bundesrepublik DDR goetting Wallsteinverlag Medium Gesellschaftswandel
Sonstiges;Jahrhundert
Sonstiges;Weblink einzelnachweise
Sonstiges;Atruvia deutsch Itdienstleister
Softwareentwicklung im Bankensektor;Kerngeschaeft Unternehmensgruppe Itdienstleistung Fuer Volksbanke Raiffeisenbank fuer Unternehmen Zentralinstitution genossenschaftlich Finanzgruppe
Sonstiges;Unternehmen unterhaelt Hauptstandort Karlsruhe Muenster Niederlassung Muenchen Frankfurt Main Berlin Satzungssitz Frankfurt Main
Sonstiges;Unternehmen entstehen Zusammenschluss Fiducia it gad
Sonstiges;September erfolgen Umbenennung Fiducia gad it Atruvia
Sonstiges;Geschichteend nehmen fiducia it gad gespraech Ueber moeglich Fusion
Sonstiges;vergangen aehnlich gespraech scheitern Einigung erzielen
Sonstiges;Oktober stimmen Aufsichtsraet November Dezember Eigentuemer Unternehmen Zusammenschluss
Sonstiges;rechtskraeftig
Sonstiges;Rahmen Fusion Verkleinerung Vorstand beschließen
Sonstiges;Angabe Unternehmen verliess Joerg Dreinhoefer
Sonstiges;Dezember Vorstand
Sonstiges;portfolioatruvia stellen Kunde Itleistung Rechenzentre Community Cloud Verfuegung
Softwareentwicklung im Bankensektor;Taetigkeit Rechenzentrum Itdienstleister zentral Aufgabe Unternehmen Entwicklung Bereitstellung bankenspezifisch Software entsprechend Beratungsdienstleistung
Sonstiges;Vrbank Kunde privat Spezialbank Wirtschaftsunternehmen
Sonstiges;kernbanksyst Agreealle ehemalig Gad eg angeschlossen Bank nutzen Gesamtbanksoftwareloesung Bank ehemalig Fiducia it angeschlossen Bank Loesung agree
Sonstiges;deutsch Volks Raiffeisenbank gemeinsam Kernbankensystem agree umgestellt Kern agree basieren
Softwareentwicklung im Bankensektor;vrbank nutzen Psdbanke einzeln Spardabank diverser Privatbank Software
Sonstiges;Weblinkswebsite Atruvia einzelnachweise
Sonstiges;Hypoport se eigenschreibweise Hypoport Hauptsitz Luebeck Muttergesellschaft Netzwerks Technologieunternehme Fuer Kredit immobilien Versicherungswirtschaft
Sonstiges;Unternehmensgruppe bestehen segment Kreditplattform Privatkund Immobilienplattform Versicherungsplattform
Sonstiges;Hypoport se uebernimmen Muttergesellschaft Aufgabe Strategie Managementholding entsprechend Zentralfunktion
Sonstiges;Aktie Gesellschaft deutsch Boerse Prime Standard listen Mdax vertreten
Sonstiges;ueberschreiten Marktkapitalisierung Hypoport se erstmals mrd
Sonstiges;Euro Grenze mrd
Sonstiges;Euro Grenze mrd
Sonstiges;Geschichtedie Hypoport Berlin gruenden
Sonstiges;fusionieren bestehend dr
Sonstiges;klein co
Sonstiges;Oktober Hypoport Boerse
Sonstiges;gemeinsam deutsch Postbank Tochtergesellschaft Starpool Finanz Gmbh gruenden
Sonstiges;gemeinsam Institut genossenschaftlich finanzverbund entstehen ebenfalls Gemeinschaftsunternehmen Genopace Gmbh
Sonstiges;gruenden Hypoport gemeinsam ostdeutsch Sparkassenverband Finmas Gmbh Finanzmarktplatz Fuer Sparkasse
Sonstiges;betreiben Hypoport Gemeinschaftsunternehmen Finmas gemeinsam Finanz Informatik fi
Sonstiges;Gesellschaft Segment kreditplattform zuordnen
Sonstiges;Dezember Hypoport Aktie Sdax aufnehmen
Sonstiges;mehrere insurtech spezialisiert Softwareanbieter erwerben Gesellschaft Smart insurtech zusammengefassen Zentrum bestehend Segment Versicherungsplattform bilden
Sonstiges;Fruehjahr Uebernahm Hypoport fio systems value
Sonstiges;hierauf aufbauend neu Segment immobilienplattform schaffen Aktivitaet Hypoportgruppe Ziel Digitalisierung Vermarktung Bewertung Finanzierung Verwaltung Immobilie buendeln
Sonstiges;Hypoport Grundstueck Gebaeude bislang gemietet Stammsitz Klosterstrasse erwerben langfristig Standort Berlin bekennen Stadt Berlin Uebte Vorkaufsrecht
Sonstiges;daraufhin Hauptversammlung
Sonstiges;Mai Verlagerung unternehmenssitzes Luebeck beschließen
Sonstiges;Mai beziehen Unternehmen neu bueroraeume Europacity naehe Berliner Hauptbahnhofs
Sonstiges;erfolgen Umwandlung Hypoport Hypoport se europaeisch Standort Gruppe integrieren
Sonstiges;Aktie Hypoport se deutsch Boerse Prime Standard listen Auswahlindex Sdax Mdax vertreten
Sonstiges;segmentekreditplattformdas Segment Kreditplattform betreiben internetbasiert Bbkreditmarktplatz Europace Plattform Abschluss immobilienfinanzierung bausparprodukten Ratenkredit
Sonstiges;Genopace Gmbh intern Vermittlungskoordinator Fuer genossenschaftlich Bankensektor gruenden
Sonstiges;Finmas Gmbh gemeinsam ostdeutsch Sparkassenverband Gegruendet Zusammenarbeit Finanz Informatik betrieben Tochterunternehmen Kreditmarktplatz Fuer Mitglied Sparkassenfinanzgruppe bilden
Sonstiges;bbvertriebsgesellschafter Starpool Gmbh Qualitypool Gmbh baufinanzierungsgeschaeft ebenfalls Segment Kreditplattform zuordnen
Sonstiges;zudem zaehlen rem capital Fundingport Gmbh Segment Kreditplattform
Sonstiges;Privatkundendie dr
Sonstiges;klein privatkund vertreiben immobilienfinanzierung finanzdienstleistungsprodukte Verbraucher
Sonstiges;Vergleich
Sonstiges;-- Gesellschaft Fuer Verbraucherinformation mbh vertreiben ueber onlinevergleich finanzprodukte Kategorie immobilienfinanzierung konsumentenkredit einfach Bankprodukt
Sonstiges;immobilienplattformdas Segment Immobilienplattform buendeln immobilienbezogen Aktivitaet Hypoportgruppe ausserhalb privat Finanzierung Ziel Digitalisierung Vermarktung Bewertung Finanzierung Verwaltung immobilien
Sonstiges;versicherungsplattformdas Segment Versicherungsplattform betreiben Smart Insur internetbasiert Bbplattform Beratung Tarifvergleich Verwaltung Versicherungspolice
Sonstiges;zudem Segment Versicherungsbereich Bbvertriebsgesellschaft Qualitypool Gmbh zuordnen
Sonstiges;Beginn beteiligen Hypoport Gruppe zudem Epension Gmbh co
Sonstiges;kg digital Plattform Fuer Verwaltung betrieblich Vorsorgeprodukt
Sonstiges;Aktie anteilseignerdi Aktie Hypoport se
Sonstiges;Oktober Frankfurter Wertpapierboerse handeln Sdax notieren
Sonstiges;Isin lauten de wkn Kuerzel hyq
Sonstiges;groesster Einzelaktionaer Ronald slabke Revenia Gmbh Vorstandsvorsitzender Hypoport se
Sonstiges;insgesamt geben million Stueckaktie
Sonstiges;Streubesitz Gemaess Definition deutsch Boerse betraegen ueber Prozent ausgegeben Aktie
Sonstiges;weblinkswebseiten Hypoport se einzelnachweise
Sonstiges;Temeno group international taetig Schweizer Softwareunternehmen Bankensoftware spezialisieren
Sonstiges;gegruendet Unternehmen beschaeftigen Laender
Sonstiges;Mitarbeiter erwirtschaften Umsatz ueber Million Usdollar
Sonstiges;Temenos Schweizer Boerse six swiss exchange kotieren
Softwareentwicklung im Bankensektor;Unternehmen zaehlen fuehrend Hersteller integriert gesamtbankloesung
Sonstiges;umfassen wesentlich Applikation Bereich Universal wholesal Retail privat Islamic Banking Bereich Microfinance Laender ueber Finanzinstitut Einsatz
Sonstiges;groes Bank nutzen dienste Temenos
Sonstiges;Kernbankensystem Temenos T
Sonstiges;Startupunternehmen Sonect virtuell Geldautomat App Fuer smartphones Marketplace integrieren
Sonstiges;Fintech weltsparen Raisin Anfang Temenosmarketplace integrieren
Softwareentwicklung im Bankensektor;msg for banking Software Beratungsunternehme Geschaeftsfeld Bank Finanzdienstleistung Hauptsitz Frankfurt Main
Sonstiges;Unternehmen entstehen Juli Zusammenschluss Msggillardon bsm bankingsystem Managementberatung Gmbh
Sonstiges;Maerz msg gillardonbsm msg for banking umbenennen
Sonstiges;msg for banking selbststaendig Tochterunternehmen unabhaengig international agierend Unternehmensgruppe Msg beschaeftigen Mitarbeiter stehen Standort Deutschland Rumaenie
Sonstiges;Umsatz Geschaeftsjahr betragen mio
Sonstiges;Geschichtehervorgegang Unternehmen Wilhelm Gillardon -- badisch Brett Gegruendet -- Gillardonfachverlag Fuer zinstabellen Bankarbeitsplatz --
Sonstiges;Geschaeftsfeld Erjahre erfolgreich ausbauen Gillardonzinstabell entwickeln Deutschland Standard Zinsermittlung
Sonstiges;erkennen Heinrich Gillardon Enkel Firmengruender Zeichen steigen Entwicklung Finanzprogramme Fuer Taschencomputer softwaregeschaeft -- Gillardon Anbieter Effektivzins Renditeprogramme programmierbaren taschenrechnern
Sonstiges;erjahren Gillardon Form zahlreich finanzmathematisch Veroeffentlichung massgeblich beteiligen Diskussion Entwicklung Marktzin Barwertmethode Methode Integration Risiko
Softwareentwicklung im Bankensektor;Anfang Erjahre Unternehmen Anbieter Fuer bankensoftwar finanzmathematisch seminaren Produktconsulting weiterentwickeln
Sonstiges;bekanntestes Produkt marzipan Klassiker finanzmathematisch rechenkernen gelten
Sonstiges;Uebernahm Msg Mehrheitsbeteiligung Gillardon fusionieren Geschaeftsbereich Finanzdienstleistung Msggillardon
Sonstiges;Massgabe Verschmelzungsvertrag
Sonstiges;Juni Bsm bankingsystem Managementberatung Gmbh Amtsgericht Frankfurt Main hrb rueckwirkend
Sonstiges;Januar uebernehmend Rechtstraegerin ehemals Msggillardon Amtsgericht Mannheim hrb verschmelzen
Sonstiges;Maerz Firma offiziell msg for banking umbenennen
Softwareentwicklung im Bankensektor;Produkt Geschaeftsfeldermsg for Banking entwickeln Produkt Individualloesung Geschaeftsfeld Bank Finanzdienstleistung
Sonstiges;wesentlich Schwerpunkt Gesamtbanksteuerung Risikomanagement aufsichtsrecht meldewesen payments Produktberatung Kalkulation
Sonstiges;bieten Unternehmen zudem seminar Fach fuehrungskraefte Finanzinstitut richten insbesondere finanzmathematisch Thema beinhalen
Softwareentwicklung im Bankensektor;Kunde msg for Banking zaehlen Sparkassenfinanzgruppe privat Geschaeftsbanke verbaend Rechenzentre Finanzabteilung Unternehmen
Sonstiges;weblinksfirmenhomepagefirmenblog Banking
Sonstiges;Vision einzelnachweise
Softwareentwicklung im Bankensektor;finnova eintragen finnova bankwar bankensoftwar spezialisiert Schweizer Unternehmen Sitz Lenzburg
Softwareentwicklung im Bankensektor;Standardloesung finnova Banking Software fertigstellen Unternehmen Softwareapplikation fuer Finanzindustrie entwickeln
Sonstiges;finnova nehmen wichtig Stellung Schweiz gehoert Netzwerkpartner Kantonalbanke
Sonstiges;Anzahl Bank ca
Softwareentwicklung im Bankensektor;Universal Privatbank haeln Unternehmen groes Anteil Markt Schweiz Fuer banksoftware
Sonstiges;Anzahl Mitarbeiter Bank haeln finnova Wettbewerber Avaloq zweitgroesst Marktanteil
Sonstiges;Geschichte Applikation namens fis entwickeln anfangs fis Benutzerbankenpool Leben rufen
Sonstiges;Finis gruenden Entwicklung modular Gesamtbankenloesung beginnen
Sonstiges;fertiggestellt Standardloesung finnova Banking Software ersetzen veraltet gesamtsystem gleichzeitig erfolgen Umbenennung finnova bankwar finnova
Sonstiges;April steigen Swisscom Beteiligung Prozent finnova
Sonstiges;gleichzeitig Uebernahm deutsch Softwarehersteller Systemintegrator msg systems Mehrheit Aktie
Sonstiges;bekanntgeben Sixplattform Blink ueber Openfinanceapis Kernbankenloesung Finnovas integrieren
Sonstiges;Weblinkswebsite finnova einzelnachweisen
Sonstiges;Crealogix Gruppe Schreibweise Crealogix Schweizer Softwareunternehmen
Softwareentwicklung im Bankensektor;Crealogix entwickeln implementieren finanztechnologieloesung Fintech fuer Bank
Sonstiges;Schwerpunkt Unternehmenstaetigkeit liegen Bereich mobil Sicherheit Vermoegensberatung
Sonstiges;gegruendet Gruppe beschaeftigen mitarbeitend
Sonstiges;Aktie Crealogix Holding Clxn six swiss exchange handeln
Sonstiges;Crealogix Firmensitze Schweiz zuerich Bubikon Deutschland Stuttgart Jever Coburg Grossbritannie Winchester Riad Singapur Barcelona
Sonstiges;geschichtedas Unternehmen Bruno Richle Exekutiver Vrpraesident Richard Dratva Strategie Vrvizepraesident Peter Suesstrunk Daniel Hiltebrand Schweiz gruenden
Sonstiges;folgen Boersengang
Sonstiges;anfaenglich rein Dienstleistungsanbieter wandeln Crealogix Softwareprodukthersteller
Sonstiges;zusaetzlich finden Fokussierung Finanzindustrie
Sonstiges;Uebernahm Crealogix Ebanking Geschaeftseinheit -- Abaxx ” Cordys Deutschland
Sonstiges;akquirierte Unternehmen Advicemanager deutsch Firma C Fincon
Sonstiges;Standort London Wien Singapur
Sonstiges;Januar erwerben Crealogix britisch Unternehmen Mba systems
Sonstiges;Januar kaufen Gruppe Prozent Anteil innofis Barcelona ansaessigen Digitalbankinganbieter
Sonstiges;Spaeter uebernehmen elaxy business solution services vollstaendig deutsch Itdienstleister Fiducia gad it
Sonstiges;uebt Option Rahmen initial Beteiligung vereinbaren
Sonstiges;elaxy Financial Software solutions bleiben Beteiligung unveraendert Crealogix haeln Fiducia Gad weiterhin
Sonstiges;Maerz Unternehmung ruecklaeufig Umsatz Verlust angekuendigen Gewinnwarnung
Sonstiges;Geschaeftsjahr verbuchen Unternehmung negativ Ebitda chf mio
Sonstiges;Umsatzrueckgang
Softwareentwicklung im Bankensektor;Taetigkeitsgebietin Bereich -- digital banking -- Epayment Digital learning Education entwickeln Crealogix internetbasiert Software unternehmensuebergreifend Module fuer Anwendung Unternehmen Kunde lieferant Mitarbeiter
Sonstiges;Crealogix bieten verschieden -- digital banking -- Produkt Fuer Finanzindustrie online mobil Banking System online Banking security finance Portal Digital Financial advisory Tools
Sonstiges;Crealogix Epayment Loesunge bieten Multibankanbindung Hilfe Fuer Firma vereinen Zahlungsverkehr Saasloesung
Sonstiges;Crealogix Education Software beinhalt Elearning Mobil Lernplattformen Trainingsmodule angereicheren Artificial intelligence Aitechnologie automatisiert Umsetzung audio videoinhalt textdaten Fuer Analytics Optimierung Datenverwaltung
Sonstiges;Weblinkswebsite Unternehmen einzelnachweise
Softwareentwicklung im Bankensektor;Cpu Softwarehouse Entwicklung Software Fuer Bank spezialisiert Konzern
Sonstiges;Unternehmen Hauptsitz Augsburg fungieren Holding steuern koordinieren operativ Geschaeftseinheit
Sonstiges;cpu Linie Deutschland Oesterreich Schweiz aktiv
Sonstiges;Aktie Cpu notieren Boerse Muenchen
Sonstiges;Geschichtedie Cpu zunaechst -- Abvanlagenvermittlungcpu Softwarehouse Gmbh -- jochen Furch gruenden
Softwareentwicklung im Bankensektor;groesser Auftrag Bereich Software Unternehmen verzeichnen Fuer Commerzbank entwickeln Cpu Software Unterstuetzung baufinanzierungsgeschaeften folgen Software Immobilienfinanzierung Fuer bayerisch Landesbank
Sonstiges;beteiligen damalig Technologieholding muenchen Finanzierungsrunde Cpu venture Capital finden Finanzierungsrunde Investor hinzukamen
Sonstiges;folgen Boersengang neu Markt Frankfurter Wertpapierboerse
Sonstiges;Unternehmen expandiert stark Niederlassung Kooperation Polen Tschechien Ungarn Slowakei Oesterreich Schweiz gruenden
Sonstiges;Zug Wachstum -- zahlreich Unternehmen erwerben
Sonstiges;teilweise Produkt vertreiben
Softwareentwicklung im Bankensektor;handeln Software Bereich Kredit Anlage Wertpapierberatung
Softwareentwicklung im Bankensektor;Dienstleistung Bankenumfeld erbringen
Sonstiges;Zug Verwerfung neu Markt Insidervorwuerf Management bekommen Cpuaktie Auswirkung -- dotcomblase -- spu
Sonstiges;waehrend Boersenkurs Zunaechst Spitzenwerte ca
Sonstiges;Euro erreichen fallen rasant unterschreiten teilweise Wert Euro Penny Stock
Sonstiges;cpu erfahren aehnlich Schicksal zahlreich anderer schnell wachsend Unternehmen neu markt streng Konsolidierungskurs einschlagen
Sonstiges;Zug Konsolidierung Cpu Softwarehouse Holding aufstellen Zentralfunktion verbleiben
Sonstiges;tochtergesellschaften Verantwortung Fuer Produktlinie uebertragen
Sonstiges;wechseln cpu neu Markt geregelt Markt Frankfurter Wertpapierboerse
Sonstiges;fuehren cpu Kapitalerhoehung Sacheinlage
Sonstiges;dienen Finsy st
Sonstiges;gall mittels Aktientauschs erwerben
Sonstiges;Produktlinie Bankcontrolling neu Konzerngesellschaft Unternehmensverbund hinzu
Sonstiges;Vereinfachung Konzernstruktur erfolgen
Sonstiges;ferner Schritt unternehmen vieler anderer Unternehmen Kostenbelastung Notierung reguliert Markt reduzieren
Sonstiges;Wechsel reguliert Markt Frankfurt reguliert Markt Muenchen fuehren Cpu spaeter Downgrading Freiverkehr
Sonstiges;Oktober Maccess Mittelstandssegment Boerse muenchen listen
Sonstiges;Aktie Cpu Softwarehouse befinden Streubesitz
Softwareentwicklung im Bankensektor;Konzerngesellschaft geschaeftsbereichedi Cpu Softwarehouse fungieren Holding Fuer tochtergesellschafn Software Fuer Bank entwickeln Dienstleistung Bankenumfeld erbringen
Sonstiges;konzentrieren cpu klein mittlerer kreditinstitute Deutschland Oesterreich Schweiz
Sonstiges;erfolgen Aufteilung geschaeftsbereich -- Produkt -- -- Dienstleistung --
Softwareentwicklung im Bankensektor;Geschaeftsbereich Produkt zaehlen Cpu bankensoftwar Gmbh Cpu bankensoftwar
